show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s7457,Movie,Milk,Gus Van Sant,United States,2017-02-16,2008,R,128 min,"Dramas, Independent Movies, LGBTQ Movies",95,2017.0,2.0,128
s7459,Movie,Minnaminugu the FireFly,Anil Thomas,India,2018-08-01,2017,TV-14,128 min,"Dramas, International Movies",45,2018.0,8.0,128
s7461,Movie,Miracle,Gavin O'Connor,Canada,2018-06-01,2004,PG,136 min,"Children & Family Movies, Dramas, Sports Movies",54,2018.0,6.0,136
s7462,Movie,Mirror Mirror,Tarsem Singh,United States,2020-04-24,2012,PG,106 min,"Children & Family Movies, Comedies",69,2020.0,4.0,106
s7463,Movie,Mirzya,Rakeysh Omprakash Mehra,India,2017-02-20,2016,TV-MA,129 min,"Dramas, International Movies, Music & Musicals",36,2017.0,2.0,129
s7465,TV Show,Miss Hokusai,Keiichi Hara,Japan,,2015,PG-13,90 min,Anime Features,75,,,90
s7466,Movie,Miss Julie,Liv Ullmann,Norway,2015-09-02,2014,PG-13,130 min,"Dramas, International Movies",94,2015.0,9.0,130
s7467,Movie,Miss Me This Christmas,Unknown,Unknown,2017-12-19,2017,TV-14,85 min,Romantic Movies,5,2017.0,12.0,85
s7468,Movie,Miss Representation,Jennifer Siebel Newsom,United States,2017-10-20,2011,NR,90 min,Documentaries,3,2017.0,10.0,90
s7471,Movie,Miss Stevens,Julia Hart,United States,2016-12-19,2016,NR,86 min,"Dramas, Independent Movies",27,2016.0,12.0,86
s7472,Movie,Mission Control: The Unsung Heroes of Apollo,David Fairhead,United States,2017-08-13,2017,TV-14,100 min,Documentaries,97,2017.0,8.0,100
s7473,TV Show,Mission of Honor,David Blair,United Kingdom,,2018,TV-MA,107 min,"Action & Adventure, Dramas",15,,,107
s7474,Movie,Mission: Destroy Love,Osman Ali,Malaysia,2017-08-07,2014,TV-PG,93 min,"Comedies, International Movies, Romantic Movies",89,2017.0,8.0,93
s7475,Movie,Mississippi Grind,Unknown,Unknown,2018-07-26,2015,R,109 min,"Dramas, Independent Movies",71,2018.0,7.0,109
s7476,Movie,Moh Maya Money,Munish Bhardwaj,India,2017-05-01,2016,TV-MA,109 min,"Dramas, Independent Movies, International Movies",22,2017.0,5.0,109
s7477,Movie,Mohawk,Ted Geoghegan,United States,2018-06-30,2017,TV-MA,92 min,"Action & Adventure, Horror Movies, Independent Movies",67,2018.0,6.0,92
s7478,Movie,Mojave,William Monahan,United States,2018-07-26,2015,R,93 min,"Dramas, Independent Movies, Thrillers",34,2018.0,7.0,93
s7479,Movie,Mokalik (Mechanic),Kunle Afolayan,Nigeria,2019-09-01,2019,TV-14,100 min,"Dramas, International Movies",81,2019.0,9.0,100
